
1550820848.212:  AA AA 04 80 02 00 83 FA
1550820848.212:  AA AA 20 02 1A 83 18 02 74 B3 01 0F E2 01 44 D8 00 A2 13 00 33 C1 01 24 96 00 7A 12 00 2A 78 04 18 05 28 35
1550820849.328:  AA AA 04 80 02 00 82 FB
1550820849.328:  AA AA 04 80 02 00 77 06
1550820849.328:  AA AA 04 80 02 00 70 0D
1550820849.328:  AA AA 04 80 02 00 73 0A
1550820849.328:  AA AA 04 80 02 00 56 27
1550820849.328:  AA AA 04 80 02 00 2D 50
1550820849.328:  AA AA 04 80 02 00 24 59
1550820849.328:  AA AA 04 80 02 00 45 38
1550820849.328:  AA AA 04 80 02 00 87 F6
1550820849.328:  AA AA 04 80 02 00 BA C3
1550820849.343:  AA AA 04 80 02 00 B6 C7
1550820849.343:  AA AA 04 80 02 00 9A E3
1550820849.343:  AA AA 04 80 02 00 89 F4
1550820849.343:  AA AA 04 80 02 00 77 06
1550820849.343:  AA AA 04 80 02 00 5B 22
1550820849.343:  AA AA 04 80 02 00 4C 31
1550820849.343:  AA AA 04 80 02 00 46 37
1550820849.343:  AA AA 04 80 02 00 40 3D
1550820849.343:  AA AA 04 80 02 00 25 58
1550820849.343:  AA AA 04 80 02 00 00 7D
1550820849.343:  AA AA 04 80 02 FF D2 AC
1550820849.343:  AA AA 04 80 02 FF 95 E9
1550820849.343:  AA AA 04 80 02 FF 85 F9
1550820849.343:  AA AA 04 80 02 FF FE 80
1550820849.343:  AA AA 04 80 02 00 92 EB
1550820849.343:  AA AA 04 80 02 00 92 EB
1550820849.343:  AA AA 04 80 02 00 15 68
1550820849.343:  AA AA 04 80 02 FF B5 C9
1550820849.343:  AA AA 04 80 02 FF 8C F2
1550820849.343:  AA AA 04 80 02 FF 8A F4
1550820849.343:  AA AA 04 80 02 FF A4 DA
1550820849.343:  AA AA 04 80 02 FF CD B1
1550820849.343:  AA AA 04 80 02 FF AF CF
1550820849.343:  AA AA 04 80 02 FF 56 28
1550820849.343:  AA AA 04 80 02 FF 06 78
1550820849.343:  AA AA 04 80 02 FE E2 9D
1550820849.343:  AA AA 04 80 02 FE FE 81
1550820849.343:  AA AA 04 80 02 FF 36 48
1550820849.343:  AA AA 04 80 02 FF 4D 31
1550820849.343:  AA AA 04 80 02 FF 5D 21
1550820849.343:  AA AA 04 80 02 FF 87 F7
1550820849.343:  AA AA 04 80 02 FF AD D1
1550820849.343:  AA AA 04 80 02 FF AF CF
1550820849.343:  AA AA 04 80 02 FF A6 D8
1550820849.343:  AA AA 04 80 02 FF A7 D7
1550820849.343:  AA AA 04 80 02 FF C2 BC
1550820849.343:  AA AA 04 80 02 FF CD B1
1550820849.343:  AA AA 04 80 02 FF D3 AB
1550820849.343:  AA AA 04 80 02 FF E3 9B
1550820849.343:  AA AA 04 80 02 FF DB A3
1550820849.343:  AA AA 04 80 02 FF BE C0
1550820849.343:  AA AA 04 80 02 FF 9F DF
1550820849.343:  AA AA 04 80 02 FF 9C E2
1550820849.343:  AA AA 04 80 02 FF B4 CA
1550820849.343:  AA AA 04 80 02 FF CC B2
1550820849.343:  AA AA 04 80 02 00 01 7C
1550820849.343:  AA AA 04 80 02 00 42 3B
1550820849.343:  AA AA 04 80 02 00 32 4B
1550820849.343:  AA AA 04 80 02 00 03 7A
